time_s,ax,ay,az,gx,gy,gz,raw_pitch,kalman_pitch
9.0859,-996,3228,17368,9271,-2621,-1056,3.23,4.05
9.1044,-700,3852,17288,9216,1058,-540,2.26,4.04
9.1189,-1056,3676,16516,9178,1185,-414,3.57,4.08
9.1338,-1304,3988,16112,9755,-30,-349,4.49,4.03
9.1487,-1788,4232,16292,10349,-820,-319,6.06,3.96
9.1666,-1024,4836,16332,10977,-1354,-126,3.44,3.68
9.1814,-684,4868,16428,10871,-412,151,2.29,3.52
9.1960,-712,4968,16344,10930,468,-144,2.39,3.46
9.2150,-856,5532,15940,11579,559,-434,2.90,3.43
9.2299,-1080,6296,15676,11515,466,-269,3.66,3.42
9.2446,-1660,6460,15404,11107,1198,-201,5.68,3.58
9.2612,-1340,6720,15660,10701,806,-46,4.50,3.64
9.2759,-1352,6664,15924,10452,350,-5,4.48,3.65
9.2909,-1680,6516,14708,10748,81,-468,5.96,3.69
9.3078,-392,7212,14496,11639,-704,-975,1.39,3.44
9.3224,364,8048,14452,12059,284,-665,-1.26,3.21
9.3373,-908,8076,14368,12239,1511,-502,3.15,3.31
9.3518,-1508,8340,14776,12027,1498,-630,5.08,3.48
9.3703,-1108,9036,14532,11331,631,-519,3.70,3.49
9.3850,-1092,9508,14212,10865,715,-165,3.65,3.51
9.3999,-1532,9468,13676,10652,682,-142,5.26,3.59
9.4167,-972,9584,13092,10543,342,-89,3.43,3.55
9.4313,-568,9708,12960,10710,197,-112,2.01,3.45
9.4462,116,10072,12496,10986,479,-201,-0.41,3.28
9.4607,-596,10456,12640,10870,652,47,2.08,3.23
9.4774,-1500,10728,12528,10467,610,8,5.20,3.31
9.4921,-2020,11168,12268,10127,87,155,6.94,3.40
9.5071,-1576,11564,12180,9652,-471,505,5.36,3.37
9.5240,-1496,11456,11836,8885,-905,799,5.19,3.26
9.5387,-1528,11324,11396,8480,-632,834,5.43,3.22
9.5537,-1500,11040,11164,8178,431,473,5.46,3.30
9.5720,-900,11536,11180,7836,1130,86,3.21,3.37
9.5867,-724,11888,10936,7754,1327,-8,2.57,3.42
9.6011,-888,12376,11156,7742,1400,-187,3.05,3.49
9.6158,-1160,12568,11032,7574,1293,-204,3.97,3.59
9.6327,-1220,12780,10472,7090,895,536,4.22,3.66
9.6473,-1396,12644,10364,6281,643,589,4.88,3.72
9.6622,-1256,12732,10588,5624,1080,252,4.34,3.80
9.6804,-1252,13092,10372,5166,1357,-183,4.29,3.93
9.6953,-1044,13304,10076,5051,1499,-271,3.58,4.02
9.7100,-896,13456,9732,4855,1165,171,3.09,4.05
9.7246,-828,13516,9556,4765,804,416,2.86,4.03
9.7410,-892,13304,9296,4710,327,594,3.15,3.97
9.7555,-992,12968,9288,4745,385,382,3.56,3.93
9.7717,-1008,13004,8888,4694,778,200,3.66,3.95
9.7895,-988,13192,8740,4500,1064,-165,3.57,4.00
9.8039,-1520,14216,9132,4228,1298,-215,5.14,4.12
9.8185,-1572,14608,9232,4235,1099,-21,5.20,4.22
9.8353,-948,14164,8716,4186,609,257,3.26,4.19
9.8500,-336,13668,8360,4087,58,305,1.20,4.01
9.8644,80,13820,8628,4075,-307,218,-0.28,3.75
9.8861,-1136,14036,8636,4082,-339,267,3.94,3.61
9.9026,-1612,13896,8256,3924,-62,12,5.70,3.61
9.9209,-1536,13920,7880,3593,121,-138,5.49,3.63
9.9357,-1256,14060,8036,3418,144,-147,4.43,3.62
9.9503,-820,13840,8172,3484,186,-318,2.92,3.55
9.9649,-656,13980,7944,3829,429,-899,2.34,3.48
9.9830,-588,14184,7704,3767,885,-1087,2.09,3.47
9.9974,-1276,14044,7348,3320,1343,-611,4.60,3.59
10.0121,-1516,14160,7348,2669,1047,-479,5.43,3.72
10.0292,-1776,14796,7692,1855,406,-207,6.08,3.80
10.0444,-1412,15000,7928,1212,-113,-94,4.76,3.76
10.0594,-936,14968,7648,524,-285,-71,3.19,3.65
10.0765,-628,15016,7484,-140,-98,34,2.14,3.50
10.0915,-1028,15060,7572,-748,-56,322,3.49,3.43
10.1063,-1396,14644,7516,-1464,-577,700,4.85,3.37
10.1251,-1220,14472,7508,-2333,-1152,950,4.28,3.17
10.1402,-976,14164,7336,-3035,-653,1010,3.50,3.05
10.1549,-604,14336,7704,-3488,-690,948,2.13,2.88
10.1720,-324,14448,7816,-3816,-1041,1409,1.13,2.61
10.1884,-928,14200,8044,-4342,-1010,1735,3.25,2.45
10.2032,-1488,13976,8072,-4916,-594,1406,5.27,2.44
10.2205,-1140,13940,8152,-5604,-112,1000,4.04,2.43
10.2355,-500,13764,8316,-6053,-94,1002,1.78,2.33
10.2505,-428,14024,8480,-6557,-508,1514,1.50,2.18
10.2676,-640,13560,8796,-7285,-1547,2196,2.27,1.93
10.2824,-1248,13396,9200,-7861,-2080,2308,4.39,1.74
10.2976,-1164,13144,9520,-8229,-1689,1963,4.10,1.60
10.3125,28,12552,10168,-8093,571,724,-0.10,1.53
10.3297,68,12428,10212,-7930,1952,-62,-0.24,1.64
10.3444,-132,12380,10008,-8182,3317,-505,0.48,1.89
10.3595,-1104,12468,9964,-8910,3100,-375,3.96,2.26
10.3767,-796,13012,10688,-9645,1044,251,2.71,2.35
10.3915,-380,12772,11232,-10188,-572,933,1.28,2.18
10.4080,-452,11888,11656,-10608,-1088,1087,1.56,1.96
10.4250,-140,11256,11628,-11173,-722,802,0.50,1.75
10.4401,-228,11240,11488,-11332,471,41,0.81,1.70
10.4551,24,11380,11828,-11069,1284,-742,-0.08,1.71
10.4724,-124,11236,12368,-10958,-41,-276,0.43,1.58
10.4876,-320,10784,12608,-10804,-893,186,1.10,1.40
10.5025,0,10444,12844,-10655,-123,226,-0.00,1.27
10.5160,-72,9932,13052,-10737,1046,196,0.25,1.27
10.5354,-136,9428,12588,-10985,-16,181,0.50,1.16
10.5508,232,9808,13148,-11283,-285,775,-0.81,0.98
10.5680,-76,9656,14268,-11389,-1169,1080,0.25,0.73
10.5830,-140,8556,14460,-11209,-577,879,0.48,0.59
10.5983,-136,8208,14728,-10389,-507,633,0.46,0.46
10.6169,-16,8280,14748,-10170,-1568,919,0.05,0.15
10.6320,-132,7960,14552,-10959,-2560,1494,0.46,-0.18
10.6474,-40,7468,14372,-11570,-2654,1911,0.14,-0.53
10.6662,-388,6892,15152,-11368,-831,1507,1.34,-0.65
10.6812,100,6680,15556,-10722,1151,1061,-0.34,-0.57
10.6965,412,6532,16312,-9721,1749,780,-1.34,-0.47
10.7135,700,5820,16136,-9023,1285,820,-2.34,-0.46
10.7284,236,5652,15860,-8447,-345,908,-0.80,-0.58
10.7434,212,5944,16444,-8547,-2548,1136,-0.69,-0.92
10.7609,12,5480,16196,-9497,-305,1651,-0.04,-1.00
10.7759,-312,4728,15928,-9543,2312,1285,1.08,-0.72
10.7911,524,3936,15820,-8321,3243,794,-1.84,-0.47
10.8082,868,4056,16796,-6816,2229,587,-2.88,-0.37
10.8232,324,4284,17120,-6698,3918,498,-1.05,-0.03
10.8385,-552,4520,17048,-7667,2384,616,1.79,0.25
10.8572,-888,3728,16160,-9372,-1165,1045,3.06,0.13
10.8723,-96,3060,16584,-9629,-3489,1132,0.33,-0.31
10.8874,624,2684,16652,-9387,-1457,1087,-2.12,-0.61
10.9046,-12,2368,16560,-8693,1927,820,0.04,-0.42
10.9199,-152,2424,16236,-8161,1697,782,0.53,-0.25
10.9348,-316,2260,16184,-8092,-729,787,1.11,-0.34
10.9524,472,1584,16840,-7558,-1339,645,-1.60,-0.63
10.9673,512,1348,17548,-7402,1313,423,-1.67,-0.59
10.9824,880,892,17368,-7351,2791,182,-2.90,-0.44
10.9992,28,992,16396,-6504,1618,-67,-0.10,-0.30
11.0142,-176,964,16484,-5210,-1813,167,0.61,-0.53
11.0291,-436,948,17228,-3872,-4368,646,1.45,-0.98
11.0440,596,624,17172,-3028,-4652,453,-1.99,-1.59
11.0609,1768,600,16356,-2310,-617,356,-6.17,-1.93
11.0771,936,700,16432,-1507,2956,369,-3.26,-1.70
11.0918,56,532,16988,-887,2215,151,-0.19,-1.47
11.1087,1292,540,16992,-518,1996,218,-4.35,-1.41
11.1238,1032,248,16532,-415,5874,170,-3.57,-0.92
11.1387,516,-36,16616,-356,9044,-17,-1.78,-0.04
11.1573,-704,536,17888,15,9160,-86,2.25,1.22
11.1722,-848,300,17052,522,8592,73,2.85,2.16
11.1870,-904,24,16652,1272,10091,63,3.11,3.22
11.2040,-720,-456,16756,1558,12653,-308,2.46,4.69
11.2186,-1136,40,16552,1062,16502,-769,3.93,6.35
11.2337,-2208,48,17420,138,21018,-987,7.22,8.64
11.2487,-3224,140,17524,-861,22307,-1054,10.42,11.09
11.2666,-3772,-4,16740,-1365,21143,-1011,12.70,13.84
11.2826,-4524,192,16744,-1839,19920,-1224,15.12,16.15
11.3020,-5448,340,16340,-2061,16269,-989,18.44,18.46
11.3180,-6888,-332,16472,-2082,12715,-867,22.69,20.04
11.3360,-5644,-744,13544,-1423,9984,-973,22.59,21.38
11.3516,-6272,-496,13600,-264,8564,-882,24.74,22.42
11.3676,-6568,-456,13868,909,7743,-809,25.33,23.38
11.3857,-6452,-364,14756,1773,9638,-663,23.61,24.58
11.4013,-6716,-112,15656,1879,13242,-889,23.22,25.96
11.4192,-7300,-32,15928,1346,15461,-1014,24.62,27.84
11.4348,-7564,108,15620,980,14912,-1043,25.84,29.38
11.4508,-7712,392,15684,422,13769,-870,26.18,30.78
11.4687,-8708,192,14996,-362,14533,-698,30.14,32.56
11.4846,-9176,304,13836,-1021,16395,-810,33.55,34.43
11.5006,-9852,-44,12104,-784,14945,-482,39.14,36.29
11.5180,-9328,-272,12292,-548,13005,217,37.19,37.89
11.5339,-10124,-388,12776,-665,14696,562,38.38,39.54
11.5535,-10744,-216,11748,-1082,14192,-42,42.44,41.59
11.5691,-11616,-692,10840,-892,10713,-24,46.92,42.96
11.5870,-11408,-300,11552,-434,9926,107,44.63,44.24
11.6030,-12156,-676,11664,-189,10984,-178,46.14,45.52
11.6185,-12352,-824,10652,174,10146,-469,49.14,46.75
11.6365,-12796,-356,11112,308,8218,-685,49.01,47.84
11.6524,-11388,-180,11680,-134,9286,-1080,44.27,48.69
11.6720,-12024,-668,11880,-1052,11725,-1403,45.30,50.12
11.6874,-13112,-688,9680,-1174,8952,-1427,53.49,51.19
11.7034,-13340,-576,8664,-875,6792,-1268,56.94,52.15
11.7213,-12312,-768,9504,-499,8389,-1096,52.24,53.16
11.7373,-13304,-892,9748,-624,8891,-1032,53.66,54.14
11.7552,-14460,-868,8740,-383,7752,-1220,58.73,55.26
11.7709,-12792,-1180,9212,305,9162,-1116,54.02,56.19
11.7882,-12804,-1068,9468,617,11368,-627,53.35,57.41
11.8061,-13916,-1232,7844,779,9992,-443,60.29,58.75
11.8221,-13868,-744,7768,1104,10327,119,60.63,59.96
11.8421,-14644,-1064,7588,1546,10832,102,62.38,61.55
11.8580,-16316,-924,5972,1897,8029,-152,69.68,62.75
11.8759,-15540,-600,6920,2056,4564,-1007,65.92,63.40
11.8917,-13504,-560,7680,1456,3855,-1065,60.31,63.64
11.9077,-13716,-340,7752,530,3957,-937,60.50,63.89
11.9255,-13556,-696,7416,-254,5428,-427,61.21,64.39
11.9412,-14224,-792,6624,-266,6584,-264,64.87,65.09
11.9591,-15144,-864,6288,59,7213,0,67.26,66.04
11.9749,-15808,-1380,5792,536,6602,66,69.36,66.86
11.9909,-15324,-1044,5808,860,4863,292,68.94,67.44
12.0089,-15384,-700,5864,592,2478,393,69.00,67.75
12.0261,-14304,-664,7184,74,4652,209,63.23,68.06
12.0441,-14248,-848,5640,-188,5101,327,68.18,68.64
12.0599,-14708,-1092,4820,-140,4255,799,71.43,69.18
12.0759,-15608,-744,5076,128,3773,1236,71.80,69.65
12.0938,-15700,-704,5152,2,3568,1036,71.68,70.12
12.1096,-15232,-712,5308,-351,3344,936,70.63,70.45
12.1276,-14812,-672,5220,-249,3939,311,70.44,70.88
12.1436,-15288,-496,5212,-549,5060,-99,71.10,71.41
12.1594,-16236,-688,3832,-201,2142,-174,76.52,71.80
12.1790,-15108,-848,5140,-446,2540,-159,70.97,72.04
12.1950,-15596,-1136,4104,-417,1485,-171,74.73,72.26
12.2130,-15256,-860,4420,-42,285,-257,73.56,72.27
12.2287,-15124,-1008,4836,218,441,-54,71.91,72.23
12.2447,-15156,-960,4372,519,-813,91,73.55,72.12
12.2627,-14788,-892,4904,652,-1075,326,71.37,71.87
12.2802,-15776,-808,4608,749,-2596,402,73.48,71.53
12.2982,-15288,-916,4612,881,-4559,319,72.90,70.91
12.3141,-15132,-944,4640,1172,-5336,271,72.62,70.30
12.3322,-14788,-1060,4988,1772,-6358,197,70.97,69.41
12.3480,-14844,-1080,6048,2049,-5372,653,67.52,68.64
12.3638,-14900,-440,6364,1725,-4995,1301,66.82,67.92
12.3818,-15388,-220,5408,1483,-5255,852,70.62,67.27
12.3976,-14636,-188,5568,1537,-6901,198,69.16,66.49
12.4155,-13968,-88,5744,1101,-10456,297,67.64,65.11
12.4310,-14560,-44,6656,883,-12065,778,65.43,63.69
12.4469,-14052,-184,8224,776,-9595,931,59.66,62.35
12.4646,-14560,-192,7904,600,-7297,959,61.50,61.30
12.4803,-15080,-488,6852,1238,-7721,443,65.51,60.53
12.4961,-15064,-412,7056,1868,-9445,169,64.86,59.57
12.5138,-13452,-52,8868,1776,-9423,104,56.61,58.16
12.5310,-13136,128,8384,895,-12235,87,57.45,56.53
12.5487,-12764,-196,9136,286,-12309,25,54.40,54.79
12.5642,-13600,-148,9872,313,-9205,173,54.02,53.66
12.5798,-14040,-456,9700,877,-7958,123,55.33,52.77
12.5975,-13628,-220,9264,1337,-10165,19,55.79,51.52
12.6132,-11956,-92,9772,1721,-11679,-140,50.74,50.10
12.6287,-12528,20,10604,1558,-12773,-95,49.75,48.58
12.6479,-13164,44,11268,1304,-14023,-552,49.44,46.59
12.6639,-13952,96,10348,1129,-17790,-1495,53.44,44.76
12.6815,-11588,-428,10784,1412,-19642,-2307,47.04,42.28
12.6974,-9028,-480,11944,1718,-21184,-2117,37.06,39.56
12.7153,-8768,-232,12688,1983,-20563,-1089,34.64,36.61
12.7310,-8824,208,15656,1231,-15808,-910,29.40,34.45
12.7470,-9004,156,14144,103,-15111,-493,32.48,32.55
12.7651,-10172,-48,13976,-284,-17306,-727,36.05,30.36
12.7822,-7424,-424,14064,-316,-14531,-1338,27.82,28.39
12.8004,-6576,-676,14044,614,-12231,-790,25.07,26.57
12.8161,-6656,-600,14820,1292,-8981,-329,24.17,25.39
12.8321,-7712,-352,14968,1610,-8594,-280,27.25,24.42
12.8499,-7836,-208,14364,1922,-13518,-565,28.61,22.80
12.8656,-6224,156,15512,2168,-13774,-555,21.86,21.14
12.8836,-5068,228,16496,1918,-12329,-156,17.08,19.30
12.8993,-5636,260,16568,1437,-13932,26,18.78,17.64
12.9153,-5388,248,16440,899,-15827,-204,18.14,15.77
12.9332,-3728,-88,16732,647,-13760,-162,12.56,13.79
12.9489,-3844,-348,15672,1139,-12751,-21,13.78,12.29
12.9648,-5140,-64,15072,2099,-18500,-479,18.83,10.38
12.9827,-4508,320,15840,2724,-25626,-974,15.88,7.23
12.9980,-1100,480,19512,1783,-22818,-890,3.23,4.48
13.0130,2436,400,17896,-968,-9673,214,-7.75,2.88
13.0300,-76,20,16244,-1358,-4422,1034,0.27,2.18
13.0462,-2252,140,15836,-450,-6933,961,8.09,1.57
13.0633,-1956,148,16396,741,-12125,549,6.80,0.25
13.0785,-668,364,17956,1374,-14117,553,2.13,-1.27
13.0932,-180,380,19080,554,-12690,368,0.54,-2.58
13.1082,2004,492,17908,-1113,-8536,402,-6.38,-3.70
13.1253,2620,168,15224,-1837,-1054,1073,-9.76,-4.11
13.1405,320,-580,14480,-552,3382,1074,-1.26,-3.64
13.1552,-1196,-244,15896,690,2479,350,4.30,-3.07
13.1745,152,44,16420,1345,-3923,-95,-0.53,-3.54
13.1896,1056,192,17476,1242,-5072,-15,-3.46,-4.12
13.2083,1148,136,17628,743,-2241,24,-3.73,-4.43
13.2235,2100,-24,16420,592,2145,-246,-7.29,-4.33
13.2384,1552,16,15132,1162,5323,-481,-5.86,-3.84
13.2556,348,292,16088,2211,3188,-633,-1.24,-3.35
13.2703,116,496,16872,3227,-651,-671,-0.39,-3.32
13.2853,564,624,17596,4105,-3519,-700,-1.83,-3.66
13.3000,1536,1152,17624,4062,-3975,-613,-4.97,-4.16
13.3185,2128,728,16124,4197,-2713,-642,-7.51,-4.69
13.3334,2640,828,16248,3954,2441,-951,-9.22,-4.63
13.3487,2348,896,16556,4038,5952,-818,-8.06,-4.13
13.3658,1172,712,15924,4873,5042,-741,-4.21,-3.53
13.3807,168,1372,15788,5716,4693,-415,-0.61,-2.92
13.3959,-328,1748,15688,5769,-19,39,1.19,-2.78
13.4130,-1240,1636,16076,5640,-5785,122,4.39,-3.23
13.4279,1824,1232,14292,6619,-3501,-64,-7.25,-3.79
13.4431,1848,1856,16652,6857,759,-784,-6.29,-3.83
13.4604,3568,2420,16284,7142,4335,-648,-12.23,-3.66
13.4762,3072,3136,16884,7550,2662,803,-10.14,-3.64
13.4916,1464,3216,17160,7482,715,1697,-4.79,-3.64
13.5088,-124,3212,17172,7385,-646,1504,0.41,-3.59
13.5238,192,3680,17672,7363,-1631,1372,-0.61,-3.67
13.5391,-508,3976,18684,6308,-1386,1161,1.52,-3.64
13.5562,-1040,3996,17976,4615,-2147,558,3.23,-3.64
13.5714,-344,3236,16440,3972,-1399,-458,1.18,-3.62
13.5863,836,3408,16228,4065,2661,-1462,-2.89,-3.31
13.6048,592,3668,16056,3943,5279,-1686,-2.06,-2.57
13.6201,320,3800,14652,4727,3340,-1617,-1.21,-2.15
13.6349,1544,4080,14360,6992,-149,-1323,-5.90,-2.34
13.6526,3708,4604,17100,8428,-2653,36,-11.83,-3.10
13.6680,-1308,4408,22404,1934,3471,9,3.28,-2.46
13.6848,2816,5220,14420,4520,-2813,598,-10.40,-3.16
13.7025,644,4756,17016,4744,-448,883,-2.09,-3.20
13.7173,576,4668,14520,5335,907,170,-2.16,-3.08
13.7325,988,5148,15652,5880,2108,-235,-3.43,-2.88
13.7494,1828,5948,17060,6398,1364,42,-5.78,-2.86
13.7647,2348,6312,16528,7474,-45,667,-7.56,-3.09
13.7809,2568,6372,15860,7812,-1749,1473,-8.54,-3.55
13.7976,1672,6332,15164,7988,-2537,2185,-5.81,-3.99
13.8129,664,6432,14884,8724,-477,1604,-2.35,-4.00
13.8277,924,6816,15084,9315,746,1114,-3.20,-3.92
13.8448,1284,7024,15248,8902,791,1100,-4.37,-3.87
13.8600,492,7224,14076,8647,-338,1213,-1.78,-3.85
13.8753,-996,7444,14708,9254,2084,525,3.46,-3.34
13.8939,-1104,7968,14888,9199,2366,-780,3.74,-2.75
13.9089,400,8176,15052,9393,1618,-1330,-1.34,-2.54
13.9241,1924,8396,15200,9472,2051,-1104,-6.32,-2.49
13.9414,2196,8932,15092,8822,1683,-476,-7.14,-2.49
13.9564,1356,9028,14636,8053,594,76,-4.51,-2.54
13.9717,776,8520,13684,7750,1499,-194,-2.76,-2.40
13.9888,548,8408,13024,8013,2100,-414,-2.02,-2.15
14.0040,1048,9128,13448,8403,2118,-411,-3.69,-2.01
14.0190,1644,10020,13912,8220,1110,41,-5.48,-2.06
14.0363,1952,10224,13180,7759,-528,767,-6.67,-2.35
14.0516,860,9740,12748,7646,-9,940,-3.07,-2.41
14.0664,96,9856,12104,8417,1987,219,-0.35,-2.14
14.0838,1012,10808,13848,8530,2292,-128,-3.30,-1.94
14.0987,1596,11140,14216,6893,-693,960,-5.05,-2.17
14.1141,224,10736,12836,5889,-1351,1641,-0.77,-2.30
14.1312,-1000,9844,11988,5858,570,582,3.69,-2.02
14.1462,-116,10424,12412,5816,2125,-434,0.41,-1.71
14.1615,1212,11368,13024,5410,3144,-591,-4.01,-1.48
14.1768,1032,11620,12972,4202,1955,53,-3.39,-1.37
14.1951,916,11344,11840,3230,-1462,682,-3.20,-1.68
14.2102,720,11512,10084,3566,-2316,748,-2.69,-2.01
14.2288,648,11608,10368,4805,807,270,-2.38,-1.95
14.2436,1192,11940,11332,5144,1435,130,-4.14,-1.92
14.2588,1000,11532,11960,4560,-382,580,-3.44,-2.06
14.2759,640,11448,11404,3823,60,383,-2.27,-2.10
14.2907,764,11852,10560,3537,563,-67,-2.76,-2.10
14.3054,600,12108,9976,3805,-415,-174,-2.19,-2.18
14.3204,572,11964,9908,4651,-1506,-83,-2.11,-2.38
14.3374,888,11788,10096,5395,-2432,-114,-3.27,-2.76
14.3521,808,12060,10060,5863,-1326,-545,-2.95,-2.94
14.3671,600,12176,10028,6323,-772,-905,-2.18,-3.03
14.3840,420,12372,10368,6260,-418,-1205,-1.49,-3.06
14.3988,1100,12360,10476,6497,-434,-1420,-3.88,-3.17
14.4138,2252,13096,11136,6893,473,-1501,-7.46,-3.33
14.4310,3172,13612,12408,6370,11,-287,-9.77,-3.64
14.4463,2264,13352,12700,4941,-1141,943,-7.00,-3.94
14.4635,688,12700,12068,3044,-661,1077,-2.25,-4.00
14.4820,20,12772,10656,2032,1537,261,-0.07,-3.68
14.4972,-96,13348,9908,1494,2906,-363,0.33,-3.23
14.5121,-232,13532,9396,1530,2538,-466,0.81,-2.82
14.5292,-92,13376,9404,1589,914,-660,0.32,-2.61
14.5441,332,13168,9048,1174,-478,-723,-1.19,-2.64
14.5591,868,13396,8404,913,426,-862,-3.14,-2.64
14.5759,880,13812,8400,1150,1610,-952,-3.12,-2.50
14.5907,1044,13772,9416,1169,571,-585,-3.58,-2.52
14.6059,948,13412,10408,347,8,-97,-3.20,-2.58
14.6207,316,13116,10488,-1089,208,-172,-1.08,-2.52
14.6377,508,13444,10012,-2282,765,-286,-1.74,-2.43
14.6524,496,13624,9680,-3243,-37,-146,-1.70,-2.44
14.6710,920,13256,9088,-3848,-1490,253,-3.28,-2.71
14.6861,1132,13200,8876,-3880,-1678,487,-4.07,-2.99
14.7010,760,13020,9060,-3723,-422,279,-2.74,-3.06
14.7159,632,12792,10128,-3917,1873,-250,-2.22,-2.85
14.7327,1244,13052,11456,-5419,1850,-635,-4.10,-2.71
14.7479,2296,13512,11148,-6541,-876,446,-7.47,-3.04
14.7645,2048,13420,10892,-6539,-2461,1413,-6.76,-3.53
14.7814,1564,12808,12164,-7228,-1275,1991,-5.06,-3.79
14.7966,-144,12304,12752,-8570,1886,1375,0.47,-3.44
14.8125,184,12440,13408,-9861,5285,59,-0.58,-2.75
14.8292,680,12540,13712,-11871,4154,-115,-2.10,-2.25
14.8443,264,11576,13252,-13309,2254,543,-0.86,-1.98
14.8594,-140,10464,12216,-14158,1579,344,0.50,-1.74
14.8766,932,10428,11528,-14529,1942,80,-3.43,-1.60
14.8918,1348,10400,11196,-14490,3142,301,-5.04,-1.43
14.9068,348,10284,10860,-13895,5369,-341,-1.33,-0.87
14.9243,432,9332,11676,-12568,5753,-1082,-1.66,-0.21
14.9392,1060,8824,12116,-11749,3511,-766,-4.05,-0.02
14.9545,616,8680,12292,-11000,586,80,-2.34,-0.09
14.9717,4,8676,12652,-9865,793,484,-0.01,-0.03
14.9871,-1476,8008,13764,-9223,4251,-724,5.30,0.63
