time_s,ax_ms2,ay_ms2,az_ms2,gx_dps,gy_dps,gz_dps,raw_pitch,kalman_pitch
0.0002,1.2502001953125002,-0.0814306640625,9.582473144531251,7.343511450381679,-6.236641221374046,0.4580152671755725,-7.43,-0.0
0.0161,1.0370434570312501,-0.09580078125000001,9.8914306640625,9.541984732824428,-2.4656488549618323,1.6793893129770991,-5.98,-0.04
0.0358,0.4550537109375,0.17244140625,10.23870849609375,9.381679389312977,6.8320610687022905,-0.9694656488549618,-2.54,0.09
0.0505,0.41912841796875,0.30177246093750004,10.28181884765625,9.49618320610687,8.34351145038168,-6.030534351145038,-2.33,0.21
0.0648,1.0298583984375,0.11017089843750001,10.712922363281251,6.114503816793893,10.290076335877863,-8.458015267175572,-5.49,0.34
0.083,1.30528564453125,0.1389111328125,10.825488281250001,1.2595419847328244,17.954198473282442,-8.625954198473282,-6.87,0.65
0.0987,1.34360595703125,0.35206787109375004,10.81351318359375,-2.9770992366412212,15.053435114503817,-6.465648854961832,-7.08,0.86
0.117,1.3699511718750002,0.15088623046875002,10.61233154296875,-7.32824427480916,1.7404580152671756,-2.732824427480916,-7.35,0.86
0.1317,1.6238232421875,-0.3400927734375,10.375224609375001,-9.580152671755725,8.801526717557252,-0.7862595419847328,-8.89,0.94
0.1478,1.082548828125,-0.32811767578125,10.05908203125,-10.129770992366412,26.229007633587788,0.1297709923664122,-6.14,1.33
0.1645,0.57719970703125,-0.0047900390625,9.829160156250001,-8.091603053435115,30.221374045801525,-0.8015267175572519,-3.36,1.8
0.1806,0.37601806640625,0.22513183593750002,9.666298828125,-4.977099236641221,18.702290076335878,-2.33587786259542,-2.23,2.08
0.1949,1.4609619140625,0.35206787109375004,12.99777099609375,-17.61832061068702,12.038167938931299,2.4427480916030535,-6.41,2.19
0.2131,0.8406518554687501,-0.011975097656250001,9.1250244140625,-13.625954198473282,18.251908396946565,-1.5190839694656488,-5.26,2.47
0.2279,-0.11735595703125,0.3209326171875,9.254355468750001,-6.0,15.206106870229007,-1.4198473282442747,0.73,2.68
0.2425,0.27063720703125,0.44307861328125003,9.36931640625,0.48091603053435117,16.709923664122137,-3.480916030534351,-1.65,2.88
0.2605,0.009580078125,0.29219238281250004,9.263935546875,8.442748091603054,33.11450381679389,-7.9541984732824424,-0.06,3.45
0.2749,0.43349853515625003,0.22752685546875,9.1154443359375,16.610687022900763,33.62595419847328,-9.633587786259541,-2.72,3.87
0.2909,0.890947265625,0.162861328125,9.44595703125,19.85496183206107,17.587786259541986,-5.435114503816794,-5.39,4.05
0.3076,0.5053491210937501,0.009580078125,10.68418212890625,17.763358778625953,12.129770992366412,-1.6870229007633588,-2.71,4.18
0.3233,0.5987548828125,-0.11017089843750001,10.87578369140625,10.664122137404581,20.106870229007633,-1.0305343511450382,-3.15,4.41
0.3379,0.354462890625,-0.143701171875,10.49258056640625,4.358778625954199,37.534351145038165,-1.3435114503816794,-1.93,4.88
0.3522,-0.99393310546875,0.53408935546875,10.20517822265625,11.13740458015267,61.02290076335878,-12.297709923664122,5.56,5.74
0.3704,-0.19160156250000002,0.07424560546875,10.221943359375,2.6412213740458017,59.412213740458014,-14.145038167938932,1.07,6.75
0.3847,0.19399658203125,0.07424560546875,9.716594238281251,2.49618320610687,50.404580152671755,-10.877862595419847,-1.14,7.35
0.4007,0.4454736328125,0.28021728515625,9.867480468750001,4.450381679389313,22.435114503816795,-1.0,-2.58,7.57
0.4173,-0.28261230468750004,0.086220703125,9.51062255859375,9.549618320610687,25.83206106870229,2.717557251908397,1.7,7.9
0.4316,-0.5269042968750001,-0.05987548828125,9.90580078125,12.549618320610687,40.41984732824427,1.2900763358778626,3.04,8.39
0.4476,-0.47181884765625004,0.047900390625000004,10.55006103515625,11.091603053435115,63.94656488549618,-0.8015267175572519,2.56,9.3
0.4643,-0.622705078125,-0.11735595703125,10.34887939453125,10.870229007633588,81.43511450381679,-1.5954198473282444,3.44,10.54
0.4793,-1.34360595703125,-0.10777587890625001,9.81,16.442748091603054,86.61068702290076,-5.877862595419847,7.8,11.76
0.4956,-1.5926879882812501,-0.047900390625000004,9.575288085937501,21.0381679389313,76.49618320610686,-8.374045801526718,9.44,12.94
0.5129,-1.2645703125,-0.10777587890625001,9.11304931640625,26.015267175572518,81.90076335877863,-10.091603053435115,7.9,14.23
0.528,-1.01309326171875,-0.0047900390625,9.374106445312501,30.580152671755727,93.94656488549619,-7.66412213740458,6.17,15.46
0.5444,-2.05013671875,0.53408935546875,10.356064453125,27.404580152671755,93.81679389312977,-5.458015267175573,11.18,16.88
0.5619,-2.6728417968750002,0.661025390625,10.68418212890625,19.87786259541985,85.67175572519083,-6.511450381679389,14.02,18.28
0.5772,-2.2608984375000003,0.756826171875,10.2746337890625,15.49618320610687,76.87022900763358,-6.038167938931298,12.38,19.3
0.5964,-1.80344970703125,1.0370434570312501,10.4470751953125,10.366412213740459,59.9236641221374,-2.068702290076336,9.75,20.21
0.6118,-2.53153564453125,1.02267333984375,10.106982421875001,3.267175572519084,57.94656488549618,1.916030534351145,13.99,20.93
0.6274,-3.1374755859375,0.8071215820312501,9.7285693359375,-3.2213740458015265,44.29770992366412,0.4198473282442748,17.82,21.52
0.6485,-2.6728417968750002,0.7903564453125,9.148974609375001,-5.4961832061068705,18.61832061068702,2.0229007633587788,16.23,21.75
0.6641,-2.53632568359375,0.70892578125,9.1537646484375,-5.213740458015267,10.206106870229007,6.175572519083969,15.44,21.74
0.6832,-3.08718017578125,0.8861572265625001,9.8435302734375,-6.427480916030534,-1.8854961832061068,8.259541984732824,17.35,21.57
0.699,-3.2021411132812503,0.9867480468750001,10.0255517578125,-9.32824427480916,-12.358778625954198,9.251908396946565,17.63,21.26
0.7168,-2.89557861328125,0.756826171875,9.754914550781251,-8.687022900763358,-28.015267175572518,7.068702290076335,16.49,20.63
0.7337,-1.97110107421875,0.5700146484375,9.762099609375001,-5.175572519083969,-29.229007633587788,9.038167938931299,11.4,19.88
0.7513,-2.16509765625,0.47181884765625004,9.3645263671875,-1.2061068702290076,-16.53435114503817,9.51908396946565,13.0,19.38
0.7668,-2.3734643554687502,0.7041357421875001,9.3836865234375,3.931297709923664,-29.31297709923664,10.648854961832061,14.16,18.77
0.7837,-2.3974145507812503,0.48379394531250003,8.602910156250001,16.221374045801525,-47.29770992366412,11.946564885496183,15.55,17.87
0.8013,-1.178349609375,0.28740234375,8.4687890625,36.35114503816794,-51.19847328244275,15.541984732824428,7.92,16.68
0.8165,-1.9112255859375,0.53408935546875,8.84001708984375,54.30534351145038,-53.045801526717554,16.84732824427481,12.18,15.73
0.8356,-1.791474609375,1.16158447265625,9.97046630859375,64.70229007633588,-58.091603053435115,15.19083969465649,10.12,14.45
0.8518,-2.12677734375,1.3100756835937502,9.6183984375,71.78625954198473,-48.404580152671755,10.473282442748092,12.36,13.58
