time_s,ax,ay,az,pitch,roll,yaw
1.4176,17140,1168,944,-84.99,51.05,-17.87
1.4302,16528,1420,616,-84.65,66.55,-17.84
1.4441,16124,1404,-236,-84.95,99.54,-17.80
1.4590,16712,1184,-148,-85.92,97.13,-17.74
1.4714,15904,1248,-1284,-83.58,135.81,-17.71
1.4842,17644,456,-3304,-79.30,172.14,-17.55
1.4981,14852,1720,-2700,-77.84,147.50,-17.38
1.5109,16780,1648,-3276,-77.67,153.30,-17.23
1.5238,15472,2320,-3784,-73.99,148.49,-17.15
1.5371,15924,2580,-3660,-74.29,144.82,-17.11
1.5496,16432,2276,-5196,-70.95,156.35,-17.05
1.5637,16172,2208,-4224,-73.58,152.40,-16.97
1.5760,17440,1904,-5012,-72.91,159.20,-16.95
1.5909,16652,1808,-4952,-72.43,159.94,-16.99
1.6037,16040,1868,-3896,-74.92,154.38,-17.01
1.6177,14744,2056,-2848,-76.60,144.17,-17.01
1.6301,12944,2448,-2964,-73.46,140.45,-16.75
1.6429,12748,3016,-3884,-68.91,142.17,-15.90
1.6554,14772,2472,-6116,-65.94,157.99,-14.76
1.6683,15608,1800,-2708,-78.23,146.39,-13.44
1.6823,16100,80,828,-87.04,5.52,-12.06
1.6988,14732,-560,4828,-71.74,-6.62,-10.31
1.7110,15692,-896,3348,-77.55,-14.98,-8.86
1.7235,16108,-1812,3316,-76.80,-28.65,-7.43
1.7375,15088,-1416,4792,-71.68,-16.46,-5.96
1.7498,14616,-2596,8232,-59.44,-17.50,-4.83
1.7620,14352,-3796,12272,-48.17,-17.19,-3.82
1.7743,14420,-4760,13672,-44.89,-19.20,-3.02
1.7867,13240,-3320,11384,-48.15,-16.26,-2.29
1.7992,9368,-2204,10592,-40.89,-11.75,-1.58
1.8131,6940,-2388,12768,-28.11,-10.59,-0.72
1.8254,6528,-2964,15188,-22.87,-11.04,0.09
1.8380,5808,-2808,15776,-19.92,-10.09,1.04
1.8506,5312,-2940,16184,-17.90,-10.30,2.08
1.8628,6684,-3304,18344,-19.73,-10.21,3.14
1.8752,7340,-2908,16532,-23.62,-9.98,4.18
1.8910,3308,-2024,17356,-10.72,-6.65,5.42
1.9048,564,-1804,16456,-1.95,-6.26,6.44
1.9162,364,-1976,17168,-1.21,-6.57,7.25
1.9275,-120,-2328,17344,0.39,-7.64,8.00
1.9391,236,-2640,19336,-0.69,-7.77,8.67
1.9523,360,-2284,16996,-1.20,-7.65,9.29
1.9638,-4032,-1132,16220,13.93,-3.99,9.68
1.9758,-5364,-652,14536,20.24,-2.57,10.04
1.9882,-6568,-1332,15252,23.22,-4.99,10.43
2.0005,-6844,-1376,16984,21.88,-4.63,10.89
2.0131,-5240,-1380,16944,17.13,-4.66,11.32
2.0268,-7372,104,15624,25.26,0.38,11.73
2.0391,-6916,140,14976,24.79,0.54,12.14
2.0516,-7860,-20,14668,28.19,-0.08,12.55
2.0641,-7292,-88,14460,26.76,-0.35,12.93
2.0763,-8184,-364,13804,30.65,-1.51,13.26
2.0887,-9584,-112,14444,33.56,-0.44,13.54
2.1023,-9676,216,11836,39.26,1.05,13.85
2.1146,-10548,292,12708,39.69,1.32,14.19
2.1267,-10728,244,11832,42.19,1.18,14.60
2.1390,-10768,464,10976,44.43,2.42,14.96
2.1514,-11304,532,12204,42.78,2.50,15.21
2.1634,-11272,648,10912,45.88,3.40,15.37
2.1794,-12216,448,10144,50.27,2.53,15.47
2.1914,-12852,284,10300,51.28,1.58,15.47
2.2037,-13472,516,9704,54.20,3.04,15.50
2.2157,-14692,644,8896,58.74,4.14,15.55
2.2282,-14204,1036,8152,59.95,7.24,15.62
2.2417,-15172,1008,8568,60.38,6.71,15.70
2.2538,-15124,1044,6748,65.70,8.79,15.79
2.2662,-15732,1344,5476,70.28,13.79,15.88
2.2790,-15488,764,5892,69.01,7.39,15.97
2.2912,-15616,1068,5188,71.26,11.63,16.07
2.3039,-15976,1440,4784,72.63,16.75,16.26
2.3179,-16832,2468,4376,73.38,29.42,16.56
2.3307,-15336,2140,3048,76.35,35.07,16.83
2.3432,-16136,1804,4348,73.74,22.53,17.03
2.3558,-15740,1672,4432,73.25,20.67,17.25
2.3683,-16304,1616,3672,76.18,23.75,17.44
2.3845,-16288,1996,1584,81.11,51.56,17.74
2.3973,-14288,1736,720,82.51,67.47,17.99
2.4097,-15920,2248,-152,81.94,93.87,18.25
2.4224,-16844,2220,1064,81.68,64.39,18.56
2.4349,-16888,1948,1364,81.98,55.00,18.87
2.4476,-16888,2072,2360,79.47,41.28,19.17
2.4617,-14372,1312,2048,80.39,32.64,19.42
2.4741,-15176,1768,540,83.05,73.02,19.58
2.4867,-16300,2336,-1412,80.49,121.15,19.78
2.5039,-16704,2912,-3956,73.61,143.64,20.16
2.5167,-16372,2860,-1804,78.33,122.24,20.53
2.5305,-15848,1828,380,83.28,78.26,20.83
2.5433,-15640,1648,132,83.97,85.42,21.03
2.5558,-16388,2552,-2140,78.51,129.98,21.17
2.5684,-16244,2636,-2572,77.23,134.30,21.31
2.5810,-15864,2788,-2616,76.45,133.18,21.42
2.5937,-16128,2972,-2760,75.88,132.88,21.51
2.6078,-16220,3236,-2488,75.87,127.55,21.62
2.6200,-15532,2716,-1408,78.86,117.40,21.67
2.6347,-16896,2396,-532,81.73,102.52,21.67
2.6473,-15900,2464,-1492,79.73,121.20,21.70
2.6598,-16248,2776,-2012,78.08,125.93,21.76
2.6745,-17012,2880,-2500,77.36,130.96,21.78
2.6884,-17568,3036,-2032,78.25,123.79,21.78
2.7011,-16328,2464,-516,81.24,101.83,21.76
2.7138,-15056,2352,-1128,80.17,115.62,21.73
2.7262,-16136,2988,-1840,77.73,121.62,21.75
2.7389,-15340,2732,-1788,77.98,123.20,21.80
2.7513,-16200,2608,-1540,79.41,120.56,21.80
